ID,Title,Type,Priority,Jira,Preconditions,Steps,Expected Result,Label
TC-001,Create valid user,Functional,High,PERM-101,None,"1. Navigate to the 'Users' page; 2. Click 'Add New User'; 3. Fill in 'Name' with 'John Doe'; 4. Fill in 'Email' with 'john.doe@example.com'; 5. Select role if applicable; 6. Click 'Submit'; 7. Verify confirmation modal appears; 8. Check user appears in the users list with correct details","User created successfully; confirmation message appears; user listed with correct info",Users
TC-002,Create user without email,Functional,High,PERM-102,None,"1. Navigate to 'Users' page; 2. Click 'Add New User'; 3. Fill in 'Name' only; 4. Leave 'Email' blank; 5. Click 'Submit'; 6. Observe validation error; 7. Ensure no new user added","Error 'Email required' displayed; user not created",Users
TC-003,Create user with duplicate email,Functional,Medium,PERM-103,Existing user,"1. Navigate to 'Users'; 2. Click 'Add New User'; 3. Enter an existing email; 4. Click 'Submit'; 5. Observe message","Error 'Email already exists' displayed; user not created",Users
TC-004,Update user name,Functional,Medium,PERM-104,Existing user,"1. Navigate to 'Users'; 2. Search and open user profile; 3. Edit 'Name'; 4. Click 'Save'; 5. Verify success message; 6. Refresh list","User name updated; visible in users list",Users
TC-005,Update user email,Functional,Medium,PERM-105,Existing user,"1. Navigate to 'Users'; 2. Edit email field; 3. Save changes; 4. Check updated email in list","Email updated successfully; visible in users list",Users
TC-006,Delete user,Functional,High,PERM-106,Existing user,"1. Navigate to 'Users'; 2. Select user; 3. Click 'Delete'; 4. Confirm in modal; 5. Verify removal from list","User deleted; confirmation shown",Users
TC-007,Delete non-existent user,Functional,Medium,PERM-107,None,"1. Attempt to delete user with invalid ID; 2. Observe message","Error 'User not found' displayed; list unchanged",Users
TC-008,Upload valid PDF document,Functional,High,PERM-108,Existing user,"1. Go to 'Documents'; 2. Click 'Upload'; 3. Select PDF file; 4. Choose user; 5. Submit; 6. Verify document appears in list","Document uploaded; visible in list; associated with correct user",Documents
TC-009,Upload image document,Functional,Medium,PERM-109,Existing user,"1. Upload JPG/PNG file; 2. Associate with user; 3. Submit","Document uploaded successfully; visible in documents list",Documents
TC-010,Upload document without user,Functional,High,PERM-110,None,"1. Click 'Upload'; 2. Select file without user; 3. Submit","Error 'User_id required'; document not created",Documents
TC-011,Retrieve document valid,Functional,Medium,PERM-111,Document exists,"1. Open document details; 2. Verify file and user association","Document details correct; accessible for download",Documents
TC-012,Retrieve document non-existent,Functional,Medium,PERM-112,None,"1. Attempt to access invalid document ID; 2. Observe error","Error 'Document not found'; list unchanged",Documents
TC-013,Update document file name,Functional,Medium,PERM-113,Existing document,"1. Open document; 2. Edit file name; 3. Save changes; 4. Verify updated name","File name updated; reflected in list",Documents
